Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7aLndReanHBzpTGE5Am9H8,"Be By You","Be By You","Luke Combs",2026-05-22,197655,81,false,,2026-09-11T04:00:55Z,"country","Columbia Nashville",0.691,0.561,1,-7.735,1,0.0231,0.612,0.00164,0.109,0.712,94.026,4
spotify:track:1CXLVRVMVxtJOtV50pfVly,"Cowgirl","Cowgirl","Shaboozey",2026-06-05,175763,80,true,,2026-09-11T04:00:55Z,"","American Dogwood / EMPIRE",0.564,0.726,2,-6.113,1,0.0235,0.054,0,0.502,0.511,83.506,4
spotify:track:5lvLvSLx5fSddNK7qOSgd7,"The Old Guys (feat. Cody Johnson)","Young","Dan + Shay;Cody Johnson",2026-08-21,193573,28,false,,2026-09-11T04:00:55Z,"country,texas country,red dirt","Warner Records Nashville",0.474,0.543,2,-4.244,1,0.0266,0.283,0,0.11,0.332,159.976,4
spotify:track:78lR1li9wdwunwNoVYiBpE,"Something To Lose","Something To Lose","STELLA LEFTY;Vincent Mason",2026-05-14,175014,80,false,,2026-09-11T04:00:55Z,"country","Atlantic Outpost",0.613,0.35,10,-7.221,1,0.0366,0.676,0,0.158,0.321,140.025,4
spotify:track:1fj3OcoKr7IVemETrPCFdO,"Clothesline","Clothesline","Dylan Gossett",2026-08-28,207778,70,false,,2026-09-11T04:00:55Z,"country","Dylan Gossett",0.677,0.838,11,-5.236,1,0.0376,0.279,0.0000838,0.271,0.618,135.951,4
spotify:track:0x7lC40oyrC7FVTdgQhSPl,"Better That Way (feat. Luke Combs)","Better That Way","Charles Wesley Godwin;Luke Combs",2026-05-15,225884,71,false,,2026-09-11T04:00:55Z,"red dirt,country","Big Loud Records",0.546,0.763,9,-4.93,1,0.0516,0.0482,0.00000349,0.102,0.535,141.079,4
spotify:track:4rGkUNqOZ6Yf7VXAc1xHor,"Think About Me","Think About Me","Gabriella Rose;Cameron Whitcomb",2026-05-08,159308,69,false,,2026-09-11T04:00:55Z,"","RIPNAPSTER2002",0.625,0.476,9,-7.572,1,0.0631,0.153,0,0.0654,0.656,108.864,4
spotify:track:0n09hxqzKFxW1MBxIjctny,"Loving Life Again","Loving Life Again","Ella Langley",2026-03-20,226413,75,false,,2026-09-11T04:00:55Z,"country","SAWGOD/Columbia",0.594,0.555,1,-6.353,1,0.0259,0.158,0.000364,0.167,0.361,100.11,4
spotify:track:6x1RfhNMyXuopmGSCPcT4q,"Pouring","Pouring","Mack Geiger",2026-08-14,214000,76,false,,2026-09-11T04:00:55Z,"country","RECORDS Nashville / Columbia",0.491,0.596,4,-5.144,0,0.0317,0.236,0.000114,0.0795,0.422,148.009,4
spotify:track:34teaZ6EaOdPDmfbxfNVtP,"Good Girls & Cowgirls","Good Girls & Cowgirls","Zach Top",2026-08-21,184613,74,false,,2026-09-11T04:00:55Z,"country,honky tonk","Leo33",0.621,0.699,0,-6.909,1,0.039,0.351,0,0.321,0.691,161.966,1
spotify:track:4fIHkwFU2L36TqKrDtUWey,"Appalachian Raised","Appalachian Raised","Cigarettes @ Sunset",2026-05-29,223496,70,false,,2026-09-11T04:00:55Z,"country alternativo","Possum Rock, LLC, under exclusive license to Lost Highway",0.493,0.912,2,-3.259,1,0.0418,0.0273,0,0.146,0.633,78.535,4
spotify:track:1ZzMmeMv0O9Unpd6Fn1uZm,"Blood Runs Thicker","forgive, forget.","Avery Anna",2026-03-13,209760,74,false,,2026-09-11T04:00:55Z,"","Warner Records Nashville",0.451,0.668,11,-6.438,1,0.0315,0.00165,0,0.0609,0.496,118.115,4
spotify:track:4Es6f0zquGHCrv9Hespx9W,"Kingdom of Fear","Kingdom of Fear","Cameron Whitcomb",2026-03-27,161075,85,false,,2026-09-11T04:00:55Z,"","Atlantic Outpost",0.625,0.738,11,-6.3,0,0.0387,0.0853,0,0.105,0.773,132.997,4
